<entries>
	<entry name="CHARM_DESC_39"> The Central Army sent Sang and singer Halloun to my old home. </entry>
	<entry name="INV_DESC_HEARTPIECE_NONE"/>
	<entry name="INV_DESC_WALLJUMP"> Mouse This allows the user to identify and break down the walls. </entry>
	<entry name="PIN_NAME_DREAMPLANT"> Distance along the route indicating location </entry>
	<entry name="CTRL_SHOW_PINS_KEY"> PIN / PIN </entry>
	<entry name="FLAME_COLLECTED"> Of course </entry>
	<entry name="INV_NAME_WALLJUMP"> Sample References </entry>
	<entry name="PANE_MAP"> The command is planned </entry>
	<entry name="PIN_DESC_STAG"> At this point, if they want to, all ist istro. The height of the position. </entry>
	<entry name="CTRL_HIDE_KEY"> Click on it </entry>
	<entry name="MAIN_MENU_START_GAME"> Start your own </entry>
	<entry name="MAP_NAME_DEEPNEST"> Depth </entry>
	<entry name="INV_NAME_RANCIDEGG"> Kathmandu </entry>
	<entry name="CTRL_MARKER_PLACE"> Weakness </entry>
	<entry name="PANE_JOURNAL"> Newspaper </entry>
	<entry name="INV_NAME_CITYKEY"> K. </entry>
	<entry name="SHOP_DESC_LANTERN"> If you find a balance? Some couples in this room were previously small, bright and dark. </entry>
	<entry name="INV_DESC_STOREKEY"> A bit of rice style. </entry>
	<entry name="INV_NAME_GEO"> Geography </entry>
	<entry name="CTRL_UNEQUIP"> Good </entry>
	<entry name="CHARM_DESC_23_BROKEN"> Increase the proportion and reduce the dop in my awakening. Private </entry>
	<entry name="INV_DESC_HEARTPIECE_ALL"> However, it is skin. The colors of the fabric were protected by the eyes, and each time the original image of the defense, the angel and them could be protected. </entry>
	<entry name="CHARM_NAME_23_BRK"> Castle (see below) </entry>
	<entry name="INV_DESC_FLOWER_BROKEN_QG"> There was a shooting in the yard. Today they will not be destroyed, and they will not be harmed by anything. </entry>
	<entry name="CHARM_TXT_OVERCHARMED"> Although </entry>
	<entry name="PIN_NAME_GHOST"> Distributor Distributor </entry>
	<entry name="INV_DESC_MAP"> Partial Halloween map, published by Carnifer. Error </entry>
	<entry name="SHOP_DESC_GEOGATHERER"> Do you see the amount of black ice? All these stories. </entry>
	<entry name="MAP_NAME_RESTING_GROUNDS"> Congratulations </entry>
	<entry name="CHARM_NAME_24_BRK"> Activate home physics </entry>
	<entry name="MAP_NAME_CROSSROADS"> Forget about the airport </entry>
	<entry name="MAP_DESC_CROSSROADS"> Map of Feston Dismut Island. The carnival is free and took me away. But it was actually effective. </entry>
	<entry name="CHARM_DESC_10"> Real monsters ascend to the famous king. The Hero of Revenge must continue his dream. </entry>
	<entry name="CHARM_DESC_11"> Based on real-life concerns. Mental clothing. </entry>
	<entry name="CHARM_DESC_12"> This depression is persistent and widespread worldwide. In case of an accident, deprive the enemy. </entry>
	<entry name="CHARM_DESC_13"> Mantis Trust is closing for him. But a teacher cannot defeat this enemy. </entry>
	<entry name="CHARM_DESC_14"> If you turn it back, watch the face of the enemy, but why not. She added to the left. </entry>
	<entry name="CHARM_DESC_15"> Neel&#39;s shop. You may be able to attack enemy forces teachers. </entry>
	<entry name="CHARM_DESC_16"> This is a very dangerous weapon. Teachers trained with the help of his body and destroy his enemies Dash Shadows. </entry>
	<entry name="CHARM_DESC_17"> This is Segisaurus. You sow the seeds. If the enemy of AI is seriously ill. </entry>
	<entry name="CHARM_DESC_18"> You have too many enemies and stress. </entry>
	<entry name="CHARM_NAME_25_BRK"> (Conscience) </entry>
	<entry name="MARKER_R_NAME"> Number </entry>
	<entry name="INV_NAME_SHADOWDASH"> This is one way of escape </entry>
	<entry name="SHOP_DESC_SIMPLEKEY"> There are several others, please commentYou don&#39;t have doƣhoro, it&#39;s very useful. </entry>
	<entry name="PANE_CHARMS"> Good </entry>
	<entry name="INV_DESC_QUILL"> We combine a route to save energy. Teachers and use of this program. </entry>
	<entry name="CTRL_EXIT"> Too many </entry>
	<entry name="SHOP_DESC_WHITEKEY"> Investigators will not find a button on the street. I&#39;m ready </entry>
	<entry name="CTRL_MARKER_CHANGE"> Map of the planet </entry>
	<entry name="INV_DESC_FLOWER_QG"> There was a shooting in the yard. It spread quickly. In fact, it is something that has to go through and fatigue, very weak. </entry>
	<entry name="UI_BLANK"/>
	<entry name="INV_NAME_KINGSBRAND"> K. </entry>
	<entry name="LISTEN"> In everything </entry>
	<entry name="SHOP_DESC_TRINKET3"> In the way of King Haranst, scholars and teachers. Thus, the soft white cloth is very rare and expensive. If it sells, I&#39;ll pay. </entry>
	<entry name="SHOP_DESC_TRINKET4"> Hey! It looks like an ordinary generation, but it was a Holocaust gift. I&#39;ll give you a small price! </entry>
